Coste;Almacén;Albarán Prov.;Fecha;Hora;N/Referencia;RefŞ.Prov.;Artículo;Descripción Ampliada;Ref Lote;Matrícula;PAQUETES;Cantidad;Precio;% Dto.;Importe;% IVA
No;Almacén 16;104559564/20019304;20/01/2026;13:17;AS04023;;BANDEJA CONDENSADOS ESCOBANDD SUPER DESAG.LATERAL (475X1100MM);ALMUDENA CASADO, JUAN CARLOS MORALES;;;2,000;2,00;63,0000;40,00;75,60;21,00
No;Almacén 16;104632711/20034635;22/01/2026;10:45;AS03251;;METRO CANALETA BLANCA CB 60X40 (43 003);MŞ JOSÉ(GRANADA);;;6,000;6,00;10,9500;50,00;32,85;21,00
No;Almacén 16;20042931;26/01/2026;10:04;IM14086;;PINZA AMPERIMÉTRICA B SMART PA420MINI KPS;BI NATURA (GRANADA);;;1,000;1,00;54,0000;55,56;24,00;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS03254;;METRO CANALETA BLANCA CB 100X60 (43 015) (18);BI NATURA (GRANADA);;;12,000;12,00;21,0500;50,00;126,30;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS03259;;ANGULO PLANO 90 AP 100X60;BI NATURA (GRANADA);;;1,000;1,00;8,7600;50,00;4,38;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS03269;;ÁNGULO EXTERNO A;BI NATURA (GRANADA);;;1,000;1,00;7,9400;50,00;3,97;21,00
No;Almacén 16;20042931;26/01/2026;10:04;TF01448;;ROLLO 25 METROS COBRE 5/8X0.8 AISLADO SPLIT CLD;BI NATURA (GRANADA);;;1,000;1,00;140,9100;0,00;140,91;21,00
No;Almacén 16;20042931;26/01/2026;10:04;TFO1443;;ROLLO 25 METROS COBRE 3/8 X 0.8 AISLADO SPLIT C.L.D;BI NATURA (GRANADA);;;1,000;1,00;77,9200;0,00;77,92;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS02213;;BOLSA BÁSICA AMORTIGUACIÓN TIPO B5 CON ANTIVIBRADORES A45;BI NATURA (GRANADA);;;1,000;1,00;3,6000;47,22;1,90;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS01016;;JUEGO SOPORTES TANQUE 650MM;BI NATURA (GRANADA);;;1,000;1,00;122,0000;40,00;73,20;21,00
No;Almacén 16;20042931;26/01/2026;10:04;AS04013;;JUEGO SOPORTES BANDEJA SUPER;BI NATURA (GRANADA);;;0,000;0,00;0,0000;0,00;0,00;21,00
No;Almacén 16;;31/01/2026;13:57;MT01569;;ASPIRADOR DE CENIZAS MT POWER;ASPIRADOR DE CENIZAS MT POWER;;;1,000;1,00;32,0000;0,00;32,00;21,00
No;Almacén 16;;31/01/2026;13:57;EM09000;;BASE SUPERFICIE PORCELANA TT 16A-250V;BASE SUPERFICIE PORCELANA TT 16A-250V;;;1,000;1,00;4,1000;35,00;2,67;21,00
No;Almacén 12;;31/01/2026;13:57;AS06801;;BOMBA CONDENSADOS MASTONE;BOMBA CONDENSADOS MASTONE;;;1,000;1,00;41,0000;0,00;41,00;21,00
